iter	RMSE
0	0.3836470146
1	0.3712964827
2	0.3601030993
3	0.3492308822
4	0.3389808964
5	0.3297753568
6	0.3208828458
7	0.3126420656
8	0.3047291121
9	0.2969793608
10	0.2893609336
11	0.2819926092
12	0.2753123684
13	0.2697382217
14	0.2641820944
15	0.2588176384
16	0.2529391784
17	0.2473991039
18	0.2423608663
19	0.2379887004
20	0.2332874644
21	0.2283673607
22	0.224091622
23	0.2196632196
24	0.2155092737
25	0.2113272514
26	0.2072338547
27	0.2039799615
28	0.2006816347
29	0.1972844943
30	0.1945090435
31	0.1918541714
32	0.1885812697
33	0.1858291524
34	0.1836790259
35	0.181482004
36	0.1789152506
37	0.1767140752
38	0.1743885966
39	0.1725900368
40	0.1707748095
41	0.1687678973
42	0.1665537345
43	0.1647901971
44	0.1630032868
45	0.161635273
46	0.1595877652
47	0.1578239228
48	0.1562920118
49	0.1549373088
50	0.1536542909
51	0.1522423969
52	0.1510736915
53	0.1493960441
54	0.1480328382
55	0.1470680539
56	0.1460755614
57	0.1446507015
58	0.1434045214
59	0.1422271703
60	0.1413727109
61	0.1403182954
62	0.1394697191
63	0.1384736983
64	0.1374786914
65	0.1366908068
66	0.1357989514
67	0.1348817416
68	0.1340000321
69	0.1330956195
70	0.1323463499
71	0.1314603419
72	0.1307704393
73	0.1299858865
74	0.1292161244
75	0.1285820634
76	0.1280703348
77	0.1274019138
78	0.126744299
79	0.1261272552
80	0.1257125977
81	0.1251070692
82	0.1246174931
83	0.1239721789
84	0.1233725218
85	0.1227601413
86	0.1221931834
87	0.1217788872
88	0.1212918029
89	0.1208085779
90	0.1202683017
91	0.1197872294
92	0.1192616801
93	0.1188816241
94	0.1184942907
95	0.1181650297
96	0.1178654096
97	0.1173547939
98	0.1168834922
99	0.1165413201
100	0.1161455068
101	0.1157423925
102	0.1153731018
103	0.1150445715
104	0.1147517685
105	0.1143223819
106	0.1140219318
107	0.1137594171
108	0.1133713058
109	0.1130142249
110	0.1124908679
111	0.1120390826
112	0.1117075161
113	0.1114464404
114	0.1111969908
115	0.1108164818
116	0.1105138746
117	0.110169457
118	0.1099359107
119	0.1097012643
120	0.1094946899
121	0.1092641074
122	0.1088392968
123	0.1086397342
124	0.1084369295
125	0.108169339
126	0.1079754625
127	0.1076872277
128	0.1073667066
129	0.107059913
130	0.1068716001
131	0.1066270574
132	0.1064347501
133	0.1061473578
134	0.1058826132
135	0.1056554674
136	0.1053632727
137	0.1051716866
138	0.1049357769
139	0.104745193
140	0.104431068
141	0.104237387
142	0.1040936239
143	0.1038862604
144	0.1036842791
145	0.1034161522
146	0.1032475879
147	0.1031290329
148	0.1028412783
149	0.1026889022
150	0.1024078933
151	0.102198346
152	0.1019593292
153	0.1018348237
154	0.1015923345
155	0.1013629103
156	0.1011775388
157	0.1009704253
158	0.1007257232
159	0.1004996169
160	0.1003472339
161	0.1001754183
162	0.09995033191
163	0.09976167908
164	0.0995628807
165	0.09931862008
166	0.0991352808
167	0.09897751263
168	0.09885233587
169	0.0986375672
170	0.09847497741
171	0.09832659798
172	0.09815427217
173	0.09793296267
174	0.09772732507
175	0.09751810292
176	0.09729633597
177	0.09715661962
178	0.09694116583
179	0.09676921517
180	0.09664622692
181	0.09655893684
182	0.09639931028
183	0.09620342797
184	0.09597918911
185	0.09582316809
186	0.09562211205
187	0.09538592003
188	0.09523737452
189	0.09508169864
190	0.09497657337
191	0.09478257306
192	0.09463977648
193	0.09451082455
194	0.09437700653
195	0.09413123165
196	0.09400933247
197	0.09389584644
198	0.09377891088
199	0.09362565765
200	0.0934651464
201	0.09331798073
202	0.0931155749
203	0.09300699146
204	0.09285233122
205	0.09265111528
206	0.09255122951
207	0.09233919486
208	0.09228885875
209	0.09217768636
210	0.09206865885
211	0.09195992265
212	0.09182023514
213	0.0916167832
214	0.09151664006
215	0.09147507925
216	0.09132183261
217	0.09107590011
218	0.09093753377
219	0.09080642541
220	0.09066918712
221	0.09063327806
222	0.09047619941
223	0.09043671586
224	0.09039947469
225	0.09029218934
226	0.09014491843
227	0.09000209821
228	0.08982485302
229	0.08978847661
230	0.08965110719
231	0.08951178383
232	0.08943088896
233	0.08940244177
234	0.08926102067
235	0.08911323696
236	0.08897614987
237	0.08885189683
238	0.08870437751
239	0.08850574334
240	0.0883494204
241	0.08821256814
242	0.0881068453
243	0.08807636808
244	0.08798479896
245	0.08788897436
246	0.08772601075
247	0.08757220094
248	0.08744092887
249	0.08731782124
250	0.08717525029
251	0.0870426338
252	0.08700897376
253	0.08688408809
254	0.08676924222
255	0.08647976705
256	0.0863438203
257	0.08622589793
258	0.08609872899
259	0.08598286795
260	0.08593292912
261	0.08581322644
262	0.08568640946
263	0.08565699119
264	0.0855635876
265	0.0854712946
266	0.08544320886
267	0.08530481533
268	0.08513034607
269	0.08499753411
270	0.08496881229
271	0.08483921814
272	0.08473316473
273	0.0846457384
274	0.08459592936
275	0.08451652468
276	0.08437666144
277	0.08428774781
278	0.08420637988
279	0.08411563313
280	0.08408973006
281	0.08396845577
282	0.08383175528
283	0.08370732415
284	0.083575407
285	0.08355077659
286	0.08352684993
287	0.08339844667
288	0.08328809302
289	0.08319248977
290	0.08312424796
291	0.0829860008
292	0.08280703843
293	0.08262843702
294	0.08253246157
295	0.08241725635
296	0.08235870719
297	0.08231005325
298	0.08226609405
299	0.08211211137
300	0.08195249532
301	0.08180473293
302	0.08164908929
303	0.08150318786
304	0.08145239914
305	0.08132779485
306	0.08125041754
307	0.08116466434
308	0.08114602879
309	0.08101652851
310	0.08088873016
311	0.08071219579
312	0.08056263879
313	0.08053864171
314	0.08051906991
315	0.08038552736
316	0.08025507773
317	0.08016523074
318	0.08007350345
319	0.0799803184
320	0.07994780298
321	0.07984380657
322	0.07976212906
323	0.07974050689
324	0.07966249234
325	0.07956230807
326	0.07944732148
327	0.07933235111
328	0.07929555063
329	0.07919266631
330	0.0791222006
331	0.07909992664
332	0.07902382298
333	0.07900336423
334	0.07889217244
335	0.07879978446
336	0.07860057205
337	0.07848676887
338	0.07839393772
339	0.07825012679
340	0.07815286465
341	0.0780368942
342	0.0779404617
343	0.07781848075
344	0.07771569861
345	0.07770114798
346	0.07761478023
347	0.07745768018
348	0.07744041949
349	0.07730005638
350	0.07719339
351	0.07714281854
352	0.07706738123
353	0.07697976445
354	0.076814053
355	0.07669627515
356	0.07660795366
357	0.07648563816
358	0.07647044843
359	0.07635615604
360	0.07628908332
361	0.07619109929
362	0.07609221828
363	0.07598992408
364	0.07590415325
365	0.07588001745
366	0.07579916559
367	0.07578624725
368	0.07571716416
369	0.07565252132
370	0.07554064489
371	0.07552775883
372	0.07551553609
373	0.07541714181
374	0.07534490845
375	0.07522096138
376	0.07510372381
377	0.07505898465
378	0.07497413861
379	0.07496240385
380	0.0748493343
381	0.07478989241
382	0.07468363491
383	0.07464134308
384	0.07456360088
385	0.07447722307
386	0.07435703419
387	0.07423872289
388	0.07410334262
389	0.07405848087
390	0.07394414255
391	0.0738067964
392	0.07378835841
393	0.0737717253
394	0.0737609123
395	0.07371076784
396	0.07359999351
397	0.07351900747
398	0.07344279011
399	0.0733287864
400	0.0731636538
401	0.07308702162
402	0.07297185423
403	0.07291601128
404	0.07290151558
405	0.07280453099
406	0.07270623235
407	0.07258720746
408	0.07255702128
409	0.0724250031
410	0.07237253859
411	0.07225149041
412	0.07217665322
413	0.07210635684
414	0.07206312584
415	0.07200327922
416	0.07190545857
417	0.07189003589
418	0.07180167678
419	0.07172577224
420	0.07168072367
421	0.07165979997
422	0.07158537978
423	0.07152696198
424	0.07147322628
425	0.07139152333
426	0.07130083247
427	0.07127316053
428	0.07120422892
429	0.07113120943
430	0.07111748179
431	0.07104514273
432	0.07094188703
433	0.07077588164
434	0.07073103792
435	0.07063010837
436	0.07052319889
437	0.07046331354
438	0.07043285887
439	0.0703387238
440	0.07029750631
441	0.07020153063
442	0.0701517466
443	0.07005868377
444	0.07003569631
445	0.06996749554
446	0.06987676035
447	0.06976508579
448	0.06968949505
449	0.06955530233
450	0.06952793287
451	0.06945213273
452	0.06938691662
453	0.0693174258
454	0.06921545089
455	0.06913033812
456	0.06911570605
457	0.06904641724
458	0.068952778
459	0.06886476984
460	0.06878312101
461	0.06872549652
462	0.06862490488
463	0.06854747234
464	0.06851815662
465	0.06842828646
466	0.06839991668
467	0.06839215258
468	0.06835630857
469	0.06826003463
470	0.06817537127
471	0.06811642144
472	0.0681090534
473	0.06807386883
474	0.06799594729
475	0.06793435814
476	0.06786878937
477	0.06782783654
478	0.06772004672
479	0.06770702124
480	0.06761203308
481	0.06751137064
482	0.06750444631
483	0.067411169
484	0.06735674664
485	0.06720316258
486	0.06711825625
487	0.06711021714
488	0.06701624547
489	0.06700164794
490	0.0669769446
491	0.06689194241
492	0.06682388479
493	0.06676992699
494	0.06671376207
495	0.06666977934
496	0.06663456296
497	0.06661929131
498	0.06656742656
499	0.06650859638
500	0.06643840752
501	0.06636249056
502	0.06624839618
503	0.06623489353
504	0.06615289078
505	0.06611683575
506	0.06598588934
507	0.06590902498
508	0.06585556507
509	0.06573642073
510	0.06569037602
511	0.06562811575
512	0.06554582307
513	0.06550064715
514	0.06539862577
515	0.06538669093
516	0.06530355179
517	0.06521316079
518	0.06515550886
519	0.06514759463
520	0.06509628339
521	0.06501738101
522	0.06495981462
523	0.06495170033
524	0.06489983033
525	0.06482014007
526	0.06473885875
527	0.06466835776
528	0.06464027846
529	0.06453036186
530	0.06447290876
531	0.06440354516
532	0.06432434578
533	0.06426186416
534	0.06420557232
535	0.06409799285
536	0.06409014733
537	0.06399235026
538	0.06393643064
539	0.06386776399
540	0.0638594099
541	0.063799393
542	0.06375947592
543	0.06365967081
544	0.06362403901
545	0.06355097669
546	0.06352008774
547	0.06345276919
548	0.06334741405
549	0.06325758175
550	0.06317651524
551	0.06317101471
552	0.06312182114
553	0.06310484772
554	0.06302770119
555	0.06299295776
556	0.06287158421
557	0.06286354555
558	0.06276270894
559	0.06266720426
560	0.06261067892
561	0.06254601807
562	0.06246515688
563	0.06239224766
564	0.06234731532
565	0.06233031808
566	0.06223826805
567	0.06216493917
568	0.06215422901
569	0.0620755272
570	0.06200851042
571	0.06196396276
572	0.0619441424
573	0.06193637071
574	0.06187588772
575	0.0617800219
576	0.06171378218
577	0.06163952779
578	0.06160757906
579	0.06155732185
580	0.06148769196
581	0.06144322998
582	0.0613947703
583	0.0613264055
584	0.06128623912
585	0.06125176063
586	0.06119713414
587	0.06110912222
588	0.06108962414
589	0.06104069032
590	0.06098581313
591	0.06095685166
592	0.06088354702
593	0.06080584176
594	0.06073666757
595	0.06064451025
596	0.06057557885
597	0.06050546333
598	0.06049711591
599	0.06044228465
600	0.0603952761
601	0.06037054975
602	0.06030017426
603	0.06022176277
604	0.06017966049
605	0.06013139706
606	0.06008014516
607	0.06007447155
608	0.05999711784
609	0.05997830615
610	0.05991799328
611	0.05985648341
612	0.05983945624
613	0.0597898465
614	0.05972853913
615	0.05971531884
616	0.05967717455
617	0.05962656882
618	0.05958205321
619	0.05954657649
620	0.05952587918
621	0.05946745185
622	0.05941362838
623	0.05934592165
624	0.05926433784
625	0.05919063997
626	0.0590956529
627	0.0590195151
628	0.05899993114
629	0.05897594249
630	0.05891290193
631	0.05885283984
632	0.05880995627
633	0.05875574507
634	0.0587257129
635	0.05871900438
636	0.05865274523
637	0.05861218864
638	0.0585540591
639	0.0585013349
640	0.05849507518
641	0.05844138237
642	0.05842197837
643	0.05837877315
644	0.05832025583
645	0.05830375373
646	0.05829743552
647	0.0582500884
648	0.05819310152
649	0.05813759661
650	0.05808734225
651	0.05801557268
652	0.05792256663
653	0.05790855286
654	0.05786776946
655	0.05782102397
656	0.05781072842
657	0.05777134876
658	0.05776185165
659	0.05769645598
660	0.05762219766
661	0.05757476077
662	0.0575111481
663	0.05747850759
664	0.05742678075
665	0.05737633064
666	0.05735732043
667	0.05727986811
668	0.05722325296
669	0.0571925298
670	0.05716406672
671	0.05712949117
672	0.05707786472
673	0.05702380015
674	0.05695762513
675	0.05692436072
676	0.05688356343
677	0.05685907882
678	0.05685325617
679	0.05675723532
680	0.05671925069
681	0.05665512662
682	0.05661222594
683	0.0566041333
684	0.05658150971
685	0.05657611708
686	0.05654399896
687	0.05653191167
688	0.05646399064
689	0.05641907542
690	0.05637286042
691	0.0563013542
692	0.05622303443
693	0.05616312873
694	0.05608549794
695	0.05602465389
696	0.05599190579
697	0.05594407667
698	0.05592592068
699	0.05592146303
700	0.05586670587
701	0.05579368737
702	0.05574282208
703	0.05568991342
704	0.05567330296
705	0.05566764766
706	0.05561727597
707	0.05560660416
708	0.05557422806
709	0.05552858124
710	0.0554765844
711	0.05545049168
712	0.05544506437
713	0.05542775995
714	0.05537264427
715	0.05531388277
716	0.05524750707
717	0.0552103738
718	0.05518817092
719	0.05513568528
720	0.05510011079
721	0.05503884636
722	0.0549846758
723	0.05496122563
724	0.05492768818
725	0.05484587895
726	0.05481374324
727	0.05474741157
728	0.05470110797
729	0.05466787361
730	0.05462154824
731	0.05455352204
732	0.05450900017
733	0.05447229693
734	0.05441916272
735	0.05439080061
736	0.05434427306
737	0.05429042555
738	0.05422294158
739	0.05416718046
740	0.05413722585
741	0.05409088449
742	0.05404120774
743	0.05395175176
744	0.05390612576
745	0.05388805121
746	0.05384598019
747	0.0538067273
748	0.0537828224
749	0.05375006739
750	0.0537043473
751	0.0536506866
752	0.0536454823
753	0.05364100216
754	0.05356049843
755	0.05350420051
756	0.05349861647
757	0.05344467935
758	0.05336636442
759	0.05329090495
760	0.05324678695
761	0.05321169315
762	0.0531435339
763	0.05308023015
764	0.05302528926
765	0.05300218383
766	0.05299467565
767	0.05298564253
768	0.05292960968
769	0.0528809969
770	0.05284439812
771	0.05279706199
772	0.05278901154
773	0.05276839241
774	0.05272249336
775	0.05267989475
776	0.0526147437
777	0.05260710126
778	0.05259118371
779	0.05249715514
780	0.05249302435
781	0.05243400486
782	0.05236604338
783	0.05236072593
784	0.05231720617
785	0.05227188605
786	0.05220543837
787	0.05219513445
788	0.05217631929
789	0.05212031333
790	0.05209045638
791	0.05203904246
792	0.05191417311
793	0.05188792129
794	0.05178371792
795	0.0517428178
796	0.05172933813
797	0.05169621483
798	0.05163797024
799	0.05157444459
800	0.05154970491
801	0.05150190727
802	0.05149808701
803	0.05148412002
804	0.05141707273
805	0.05136789381
806	0.0513269339
807	0.05126954562
808	0.05124623878
809	0.05120463555
810	0.05116255089
811	0.05110048105
812	0.05104251048
813	0.05103374834
814	0.05099993202
815	0.05099654775
816	0.05095296551
817	0.05090264191
818	0.05084850769
819	0.05076490073
820	0.05073446977
821	0.05069880492
822	0.05065986967
823	0.0506525329
824	0.05062001857
825	0.05056485329
826	0.05056149077
827	0.05052206773
828	0.05049750791
829	0.05045117143
830	0.05044216426
831	0.05037249978
832	0.05033650504
833	0.05032656613
834	0.05030990427
835	0.05027229746
836	0.05022605376
837	0.05017378767
838	0.05015772653
839	0.05011458169
840	0.05007601459
841	0.05003270458
842	0.05000196361
843	0.04995182791
844	0.0499480836
845	0.04990357804
846	0.04989948648
847	0.04987265301
848	0.04983602206
849	0.04978676289
850	0.04974974836
851	0.04966921948
852	0.04962458184
853	0.04962135842
854	0.04959481356
855	0.04957665865
856	0.04953508265
857	0.04951397014
858	0.0494596924
859	0.04945550131
860	0.04942524094
861	0.04939047841
862	0.04936156656
863	0.04931100207
864	0.0492452491
865	0.04923307315
866	0.04917753636
867	0.04914841855
868	0.04914443186
869	0.04914134884
870	0.04911632242
871	0.04910110057
872	0.04907609597
873	0.04904266103
874	0.04899387819
875	0.0489745152
876	0.04892099539
877	0.04890992807
878	0.04888216772
879	0.04884349769
880	0.04881682854
881	0.04881235886
882	0.04879718167
883	0.04874999869
884	0.04871615048
885	0.04868411803
886	0.04864329779
887	0.04861546943
888	0.04856920726
889	0.04856580123
890	0.04854941626
891	0.04852004269
892	0.04851722222
893	0.04851448513
894	0.04847962553
895	0.04843631838
896	0.04840241748
897	0.04838027809
898	0.04834552954
899	0.04833790436
900	0.0482850444
901	0.04821664485
902	0.04814369206
903	0.04810698741
904	0.04810310635
905	0.04809593457
906	0.04805744671
907	0.04803823126
908	0.04802847832
909	0.04797593533
910	0.04789069812
911	0.04784882548
912	0.04779014946
913	0.04776740165
914	0.04773178433
915	0.0477140965
916	0.04762989781
917	0.04759420861
918	0.04756267349
919	0.0475504788
920	0.04751728155
921	0.04749616912
922	0.04742938702
923	0.04740595948
924	0.04736426746
925	0.04734214019
926	0.04729487211
927	0.04723228945
928	0.04719961655
929	0.04718023087
930	0.04717647272
931	0.04714771185
932	0.04714520914
933	0.04710910093
934	0.04710530265
935	0.04707360779
936	0.04703240438
937	0.04700649495
938	0.04697556585
939	0.04694844569
940	0.04692986617
941	0.04688655736
942	0.04684320515
943	0.04680258804
944	0.04679120059
945	0.04674032073
946	0.04669324426
947	0.04668998087
948	0.04665873498
949	0.04663657102
950	0.04659043816
951	0.04657463742
952	0.04656965305
953	0.04653248897
954	0.04648282622
955	0.04645603335
956	0.04641376659
957	0.04641013225
958	0.04639702552
959	0.0463351637
960	0.04633239626
961	0.04627256247
962	0.04622334911
963	0.04618744637
964	0.04616682404
965	0.04614525072
966	0.04609681037
967	0.04609436164
968	0.04606627378
969	0.04603771259
970	0.04599433346
971	0.04593871546
972	0.04593248656
973	0.04589111417
974	0.0458858791
975	0.04581730596
976	0.0457972573
977	0.04579234611
978	0.04578370778
979	0.04576948017
980	0.04573725699
981	0.04568856552
982	0.04563499752
983	0.04559602172
984	0.04559217397
