iter	Passed	Remaining
0	0	507
1	1	511
2	2	736
3	3	834
4	3	766
5	4	714
6	4	676
7	5	646
8	5	624
9	6	609
10	6	596
11	7	590
12	7	581
13	8	572
14	9	610
15	9	604
16	10	599
17	10	594
18	11	590
19	12	588
20	12	586
21	13	580
22	13	578
23	14	577
24	14	571
25	15	567
26	15	560
27	16	561
28	16	560
29	17	558
30	17	556
31	18	554
32	18	551
33	19	549
34	19	547
35	20	545
36	20	545
37	21	545
38	22	543
39	22	541
40	23	538
41	23	537
42	24	535
43	24	533
44	25	531
45	25	530
46	26	528
47	26	525
48	26	523
49	27	522
50	27	520
51	28	518
52	28	516
53	29	515
54	29	514
55	30	513
56	30	511
57	31	510
58	32	510
59	32	509
60	33	508
61	33	508
62	34	506
63	34	506
64	35	504
65	35	503
66	36	502
67	36	502
68	37	501
69	37	500
70	38	499
71	38	499
72	39	498
73	39	497
74	40	496
75	40	495
76	41	495
77	41	494
78	42	493
79	43	501
80	44	508
81	45	508
82	45	506
83	46	505
84	46	504
85	47	504
86	47	502
87	48	502
88	48	501
89	49	500
90	49	499
91	50	498
92	51	497
93	51	497
94	52	496
95	52	496
96	53	494
97	53	493
98	54	493
99	54	492
100	55	491
101	56	495
102	56	494
103	57	493
104	57	493
105	58	492
106	58	491
107	59	490
108	59	490
109	60	489
110	61	489
111	61	489
112	62	488
113	62	486
114	63	486
115	63	485
116	64	484
117	64	483
118	65	483
119	65	482
120	66	482
121	66	481
122	68	485
123	68	483
124	69	483
125	69	482
126	70	481
127	70	480
128	70	479
129	71	479
130	72	478
131	72	477
132	73	476
133	73	475
134	74	474
135	74	473
136	75	473
137	75	472
138	76	471
139	76	471
140	77	470
141	77	469
142	78	468
143	78	467
144	79	466
145	79	465
146	80	464
147	80	463
148	81	463
149	81	462
150	82	461
151	82	460
152	83	463
153	84	462
154	84	461
155	85	461
156	85	460
157	86	460
158	86	459
159	87	458
160	87	458
161	88	457
162	88	456
163	89	456
164	89	455
165	90	454
166	90	453
167	91	452
168	91	452
169	92	451
170	92	450
171	93	449
172	93	449
173	94	448
174	94	447
175	95	447
176	95	446
177	96	445
178	97	445
179	97	444
180	98	444
181	98	443
182	99	445
183	100	444
184	100	443
185	101	443
186	101	442
187	102	441
188	102	440
189	103	440
190	103	439
191	104	439
192	104	438
193	105	437
194	105	437
195	106	436
196	106	435
197	107	434
198	107	434
199	108	433
200	109	433
201	109	433
202	110	432
203	110	432
204	111	431
205	111	430
206	112	430
207	112	429
208	113	429
209	113	428
210	114	427
211	114	426
212	115	425
213	115	424
214	116	424
215	116	423
216	117	423
217	117	422
218	118	421
219	118	420
220	119	420
221	119	419
222	120	419
223	120	418
224	121	417
225	121	416
226	122	416
227	122	415
228	123	414
229	123	414
230	124	413
231	124	413
232	125	412
233	125	411
234	126	411
235	126	410
236	127	409
237	127	409
238	128	408
239	128	408
240	129	407
241	129	406
242	130	406
243	130	405
244	131	404
245	131	403
246	132	403
247	132	402
248	133	402
249	133	401
250	134	400
251	134	400
252	135	399
253	135	399
254	136	398
255	136	397
256	137	397
257	138	396
258	138	396
259	138	395
260	139	395
261	140	394
262	140	394
263	141	393
264	141	393
265	142	392
266	142	392
267	143	391
268	143	390
269	144	390
270	144	389
271	145	388
272	145	388
273	146	389
274	147	388
275	147	387
276	148	387
277	148	386
278	149	386
279	149	385
280	151	386
281	151	385
282	152	386
283	153	386
284	153	385
285	154	384
286	154	384
287	155	383
288	155	382
289	156	382
290	156	381
291	157	380
292	157	380
293	158	379
294	159	380
295	159	380
296	160	379
297	160	378
298	161	377
299	161	377
300	162	376
301	162	376
302	163	375
303	163	375
304	164	374
305	164	373
306	165	373
307	165	372
308	166	371
309	166	371
310	167	370
311	167	369
312	168	369
313	168	368
314	169	367
315	169	367
316	170	366
317	170	365
318	171	365
319	171	364
320	172	364
321	172	363
322	173	362
323	173	362
324	174	361
325	174	360
326	175	360
327	175	359
328	176	359
329	176	358
330	177	357
331	177	357
332	177	356
333	178	355
334	178	355
335	179	354
336	179	354
337	180	353
338	180	352
339	181	352
340	181	351
341	182	351
342	182	350
343	183	349
344	184	349
345	184	348
346	185	349
347	186	349
348	186	348
349	187	347
350	187	347
351	188	346
352	188	345
353	189	345
354	189	344
355	190	344
356	190	343
357	191	342
358	191	342
359	192	341
360	192	341
361	193	340
362	193	340
363	194	339
364	194	339
365	195	338
366	195	337
367	196	337
368	196	336
369	197	336
370	197	335
371	198	335
372	199	335
373	199	334
374	201	335
375	201	334
376	202	334
377	203	334
378	204	334
379	204	333
380	204	333
381	205	332
382	206	331
383	206	331
384	206	330
385	207	330
386	208	329
387	208	329
388	209	328
389	209	328
390	210	327
391	210	326
392	211	326
393	211	325
394	212	325
395	212	324
396	213	324
397	213	323
398	214	323
399	215	322
400	215	322
401	216	321
402	216	321
403	217	320
404	217	319
405	218	319
406	218	318
407	219	319
408	220	318
409	220	317
410	221	317
411	221	316
412	222	316
413	222	315
414	223	315
415	224	314
416	224	313
417	225	313
418	225	312
419	226	312
420	226	311
421	227	311
422	227	310
423	228	309
424	228	309
425	229	308
426	229	308
427	230	307
428	230	306
429	231	306
430	231	305
431	232	305
432	232	304
433	232	303
434	233	303
435	233	302
436	234	302
437	234	301
438	235	300
439	235	300
440	236	299
441	237	299
442	237	298
443	238	298
444	238	297
445	239	296
446	239	296
447	240	295
448	240	295
449	241	294
450	241	294
451	242	293
452	242	292
453	243	292
454	243	291
455	244	291
456	244	290
457	244	289
458	245	289
459	245	288
460	246	288
461	247	287
462	247	287
463	247	286
464	248	285
465	249	285
466	249	284
467	250	284
468	251	284
469	251	283
470	252	283
471	252	282
472	253	282
473	253	281
474	254	281
475	255	280
476	255	280
477	255	279
478	256	279
479	257	278
480	257	277
481	258	277
482	258	276
483	259	276
484	259	275
485	260	275
486	261	275
487	261	274
488	262	274
489	263	274
490	263	273
491	264	273
492	264	272
493	266	272
494	266	272
495	267	271
496	267	270
497	268	270
498	268	269
499	269	269
500	269	268
501	270	268
502	270	267
503	271	266
504	271	266
505	272	265
506	272	265
507	273	264
508	273	263
509	274	263
510	274	262
511	275	262
512	275	261
513	276	261
514	276	260
515	277	259
516	277	259
517	278	258
518	278	258
519	279	257
520	279	257
521	280	256
522	280	256
523	281	255
524	281	254
525	282	254
526	282	253
527	283	253
528	283	252
529	284	252
530	284	251
531	285	250
532	285	250
533	286	249
534	286	249
535	287	248
536	287	248
537	288	247
538	288	247
539	289	246
540	289	245
541	290	245
542	290	244
543	291	244
544	291	243
545	292	242
